,0,1,2,3
Masculinity T83,0.0,1.0,0.0,0.0
Masculinity T84,0.189,0.811,0.0,0.6369
Masculinity T85,0.0,1.0,0.0,0.0
Masculinity T86,0.0,1.0,0.0,0.0
Masculinity T87,0.0,0.842,0.158,-0.4574
Masculinity T88,0.153,0.688,0.159,-0.0258
Masculinity T89,0.0,1.0,0.0,0.0
Masculinity T90,0.198,0.802,0.0,0.4927
Masculinity T91,0.0,1.0,0.0,0.0
Masculinity T92,0.0,1.0,0.0,0.0
Masculinity T93,0.09,0.762,0.148,-0.3182
Masculinity T94,0.0,0.727,0.273,-0.4588
Masculinity T95,0.0,1.0,0.0,0.0
Masculinity T96,0.195,0.747,0.058,0.5106
Masculinity T97,0.389,0.611,0.0,0.836
Masculinity T98,0.112,0.762,0.126,-0.0772
Masculinity T99,0.0,1.0,0.0,0.0
Masculinity T100,0.13,0.725,0.145,0.1779
Masculinity T101,0.0,0.912,0.088,-0.1406
Masculinity T102,0.0,0.235,0.765,-0.7579
Masculinity T103,0.26,0.617,0.123,0.4767
Masculinity T104,0.0,0.805,0.195,-0.5267
Masculinity T105,0.0,1.0,0.0,0.0
Masculinity T106,0.0,0.558,0.442,-0.9169
Masculinity T107,0.0,0.73,0.27,-0.6486
Masculinity T108,0.112,0.461,0.427,-0.8616
Masculinity T109,0.0,1.0,0.0,0.0
Masculinity T110,0.366,0.466,0.168,0.7586
Masculinity T111,0.0,1.0,0.0,0.0
Masculinity T112,0.0,0.757,0.243,-0.7269
Masculinity T113,0.313,0.525,0.162,0.3486
Masculinity T114,0.198,0.802,0.0,0.5719
Masculinity T115,0.084,0.491,0.425,-0.9349
Masculinity T116,0.0,1.0,0.0,0.0
Masculinity T117,0.171,0.708,0.121,0.296
Masculinity T118,0.0,0.255,0.745,-0.9136
Masculinity T119,0.1,0.9,0.0,0.2732
Masculinity T120,0.0,0.674,0.326,-0.4404
Masculinity T121,0.0,0.759,0.241,-0.3612
Masculinity T122,0.0,1.0,0.0,0.0
Masculinity T123,0.098,0.592,0.311,-0.5574
Masculinity T124,0.287,0.625,0.088,0.6997
Masculinity T125,0.07,0.791,0.14,-0.3612
Masculinity T126,0.2,0.8,0.0,0.3612
Masculinity T127,0.073,0.927,0.0,0.0258
Masculinity T128,0.0,1.0,0.0,0.0
Masculinity T129,0.0,1.0,0.0,0.0
Masculinity T130,0.0,0.643,0.357,-0.6766
Masculinity T131,0.0,1.0,0.0,0.0
Masculinity T132,0.161,0.839,0.0,0.3612
Masculinity T133,0.0,1.0,0.0,0.0
Masculinity T134,0.0,1.0,0.0,0.0
Masculinity T135,0.276,0.724,0.0,0.6369
Masculinity T136,0.232,0.768,0.0,0.6187
Masculinity T137,0.0,0.462,0.538,-0.5423
Masculinity T138,0.383,0.617,0.0,0.4767
Masculinity T139,0.081,0.919,0.0,0.1477
Masculinity T140,0.224,0.632,0.144,0.1027
Masculinity T141,0.0,1.0,0.0,0.0
Masculinity T142,0.0,1.0,0.0,0.0
Masculinity T143,0.161,0.839,0.0,0.3612
Masculinity T144,0.0,1.0,0.0,0.0
Masculinity T145,0.299,0.701,0.0,0.7399
Masculinity T146,0.0,1.0,0.0,0.0
Masculinity T147,0.223,0.777,0.0,0.3182
Masculinity T148,0.382,0.618,0.0,0.8948
Masculinity T149,0.107,0.893,0.0,0.2023
Masculinity T150,0.0,0.494,0.506,-0.6249
Masculinity T151,0.0,1.0,0.0,0.0
Masculinity T152,0.0,1.0,0.0,0.0
Masculinity T153,0.135,0.865,0.0,0.3612
Masculinity T154,0.135,0.865,0.0,0.3612
Masculinity T155,0.0,0.695,0.305,-0.6908
Masculinity T156,0.0,0.571,0.429,-0.8176
Masculinity T157,0.16,0.641,0.199,-0.1531
Masculinity T158,0.259,0.476,0.265,-0.0258
Masculinity T159,0.138,0.474,0.388,-0.742
Masculinity T160,0.128,0.601,0.271,-0.5152
Masculinity T161,0.384,0.616,0.0,0.7964
Masculinity T162,0.0,0.674,0.326,-0.7003
Masculinity T163,0.0,0.891,0.109,-0.296
Masculinity T164,0.116,0.884,0.0,0.2732
Masculinity T165,0.0,0.518,0.482,-0.4199
Masculinity T166,0.0,0.591,0.409,-0.8402
Masculinity T167,0.062,0.762,0.176,-0.5267
Masculinity T168,0.0,0.837,0.163,-0.5719
Masculinity T169,0.0,1.0,0.0,0.0
Masculinity T170,0.282,0.513,0.205,0.2263
