,trial,Pos.,Neu.,Neg.,Summary
381,Masculinity T134,0.0,1.0,0.0,0.0
382,Masculinity T135,0.0,1.0,0.0,0.0
383,Masculinity T136,0.0,0.643,0.357,-0.6766
384,Masculinity T137,0.0,1.0,0.0,0.0
385,Masculinity T138,0.161,0.839,0.0,0.3612
386,Masculinity T139,0.0,1.0,0.0,0.0
387,Masculinity T140,0.0,1.0,0.0,0.0
388,Masculinity T141,0.276,0.724,0.0,0.6369
389,Masculinity T142,0.232,0.768,0.0,0.6187
390,Masculinity T143,0.0,0.462,0.538,-0.5423
391,Masculinity T144,0.383,0.617,0.0,0.4767
392,Masculinity T145,0.081,0.919,0.0,0.1477
393,Masculinity T146,0.224,0.632,0.144,0.1027
394,Masculinity T147,0.0,1.0,0.0,0.0
395,Masculinity T148,0.0,1.0,0.0,0.0
396,Masculinity T149,0.161,0.839,0.0,0.3612
397,Masculinity T150,0.0,1.0,0.0,0.0
398,Masculinity T151,0.299,0.701,0.0,0.7399
399,Masculinity T152,0.0,1.0,0.0,0.0
400,Masculinity T153,0.223,0.777,0.0,0.3182
401,Masculinity T154,0.382,0.618,0.0,0.8948
402,Masculinity T155,0.107,0.893,0.0,0.2023
403,Masculinity T156,0.0,0.494,0.506,-0.6249
404,Masculinity T157,0.0,1.0,0.0,0.0
405,Masculinity T158,0.0,1.0,0.0,0.0
406,Masculinity T159,0.135,0.865,0.0,0.3612
407,Masculinity T160,0.135,0.865,0.0,0.3612
408,Masculinity T161,0.0,0.695,0.305,-0.6908
409,Masculinity T162,0.0,0.571,0.429,-0.8176
410,Masculinity T163,0.16,0.641,0.199,-0.1531
411,Masculinity T164,0.259,0.476,0.265,-0.0258
412,Masculinity T165,0.138,0.474,0.388,-0.742
413,Masculinity T166,0.128,0.601,0.271,-0.5152
414,Masculinity T167,0.384,0.616,0.0,0.7964
415,Masculinity T168,0.0,0.674,0.326,-0.7003
416,Masculinity T169,0.0,0.891,0.109,-0.296
417,Masculinity T170,0.116,0.884,0.0,0.2732
418,Masculinity T171,0.0,0.518,0.482,-0.4199
419,Masculinity T172,0.0,0.591,0.409,-0.8402
420,Masculinity T173,0.062,0.762,0.176,-0.5267
421,Masculinity T174,0.0,0.837,0.163,-0.5719
422,Masculinity T175,0.0,1.0,0.0,0.0
423,Masculinity T176,0.282,0.513,0.205,0.2263
424,Masculinity T177,0.0,1.0,0.0,0.0
425,Masculinity T178,0.088,0.68,0.232,-0.5599
426,Masculinity T179,0.064,0.792,0.143,-0.4767
427,Masculinity T180,0.176,0.824,0.0,0.5994
428,Masculinity T181,0.134,0.699,0.167,-0.1531
429,Masculinity T182,0.419,0.581,0.0,0.9186
430,Masculinity T183,0.0,1.0,0.0,0.0
431,Masculinity T184,0.071,0.929,0.0,0.0772
432,Masculinity T185,0.0,0.562,0.438,-0.8788
433,Masculinity T186,0.0,0.0,0.0,0.0
434,Masculinity T187,0.0,0.795,0.205,-0.4754
435,Masculinity T188,0.0,1.0,0.0,0.0
436,Masculinity T189,0.0,1.0,0.0,0.0
437,Masculinity T190,0.225,0.775,0.0,0.4927
438,Masculinity T191,0.194,0.806,0.0,0.5574
439,Masculinity T192,0.147,0.714,0.139,0.0516
440,Masculinity T193,0.385,0.615,0.0,0.3612
441,Masculinity T194,0.104,0.743,0.153,-0.25
442,Masculinity T195,0.0,1.0,0.0,0.0
443,Masculinity T196,0.277,0.62,0.103,0.4939
444,Masculinity T197,0.158,0.842,0.0,0.4588
445,Masculinity T198,0.0,1.0,0.0,0.0
446,Masculinity T199,0.0,1.0,0.0,0.0
447,Masculinity T200,0.088,0.841,0.071,0.1007
448,Masculinity T201,0.0,1.0,0.0,0.0
449,Masculinity T202,0.174,0.596,0.23,-0.0772
450,Masculinity T203,0.124,0.574,0.302,-0.7845
451,Masculinity T204,0.0,1.0,0.0,0.0
452,Masculinity T205,0.0,0.549,0.451,-0.6249
453,Masculinity T206,0.125,0.875,0.0,0.25
454,Masculinity T207,0.0,0.606,0.394,-0.3818
455,Masculinity T208,0.0,1.0,0.0,0.0
456,Masculinity T209,0.172,0.828,0.0,0.4019
457,Masculinity T210,0.0,1.0,0.0,0.0
458,Masculinity T211,0.0,0.507,0.493,-0.9274
459,Masculinity T212,0.0,0.808,0.192,-0.4215
460,Masculinity T213,0.178,0.579,0.244,-0.3818
461,Masculinity T214,0.183,0.576,0.241,-0.3818
462,Masculinity T215,0.0,1.0,0.0,0.0
463,Masculinity T216,0.0,1.0,0.0,0.0
464,Masculinity T217,0.0,0.871,0.129,-0.4767
465,Masculinity T218,0.296,0.704,0.0,0.7096
466,Masculinity T219,0.11,0.89,0.0,0.2732
467,Masculinity T220,0.078,0.819,0.104,-0.1613
468,Masculinity T221,0.0,0.848,0.152,-0.3612
469,Masculinity T222,0.0,1.0,0.0,0.0
470,Masculinity T223,0.145,0.676,0.179,-0.1779
471,Masculinity T224,0.298,0.591,0.111,0.7184
472,Masculinity T225,0.0,0.625,0.375,-0.8625
473,Masculinity T226,0.0,1.0,0.0,0.0
474,Masculinity T227,0.135,0.496,0.369,-0.765
475,Masculinity T228,0.0,1.0,0.0,0.0
476,Masculinity T229,0.103,0.897,0.0,0.3182
477,Masculinity T230,0.0,1.0,0.0,0.0
478,Masculinity T231,0.0,0.645,0.355,-0.5106
479,Masculinity T232,0.0,1.0,0.0,0.0
480,Masculinity T233,0.0,1.0,0.0,0.0
481,Masculinity T234,0.17,0.745,0.085,0.34
482,Masculinity T235,0.0,1.0,0.0,0.0
483,Masculinity T236,0.21,0.665,0.125,0.4224
484,Masculinity T237,0.328,0.672,0.0,0.8519
485,Masculinity T238,0.136,0.864,0.0,0.296
486,Masculinity T239,0.0,1.0,0.0,0.0
487,Masculinity T240,0.149,0.851,0.0,0.4215
488,Masculinity T241,0.196,0.804,0.0,0.658
489,Masculinity T242,0.104,0.896,0.0,0.2732
490,Masculinity T243,0.0,1.0,0.0,0.0
491,Masculinity T244,0.0,0.951,0.049,-0.0191
492,Masculinity T245,0.128,0.872,0.0,0.3612
493,Masculinity T246,0.0,0.889,0.111,-0.25
494,Masculinity T247,0.0,0.78,0.22,-0.4767
495,Masculinity T248,0.0,0.734,0.266,-0.7003
