,0,1,2,3
Feminism T163,0.271,0.729,0.0,0.6369
Feminism T164,0.0,1.0,0.0,0.0
Feminism T165,0.0,0.86,0.14,-0.4767
Feminism T166,0.141,0.859,0.0,0.2023
Feminism T167,0.0,1.0,0.0,0.0
Feminism T168,0.0,1.0,0.0,0.0
Feminism T169,0.0,1.0,0.0,0.0
Feminism T170,0.0,1.0,0.0,0.0
Feminism T171,0.178,0.625,0.197,-0.1487
Feminism T172,0.186,0.814,0.0,0.6249
Feminism T173,0.0,1.0,0.0,0.0
Feminism T174,0.299,0.701,0.0,0.7159
Feminism T175,0.0,1.0,0.0,0.0
Feminism T176,0.239,0.761,0.0,0.296
Feminism T177,0.0,0.931,0.069,-0.1027
Feminism T178,0.0,1.0,0.0,0.0
Feminism T179,0.098,0.902,0.0,0.3612
Feminism T180,0.0,1.0,0.0,0.0
Feminism T181,0.262,0.664,0.074,0.6249
Feminism T182,0.138,0.862,0.0,0.3384
Feminism T183,0.0,1.0,0.0,0.0
Feminism T184,0.0,1.0,0.0,0.0
Feminism T185,0.279,0.721,0.0,0.7003
Feminism T186,0.24,0.76,0.0,0.7178
Feminism T187,0.0,0.725,0.275,-0.6486
Feminism T188,0.0,1.0,0.0,0.0
Feminism T189,0.123,0.877,0.0,0.4215
Feminism T190,0.221,0.581,0.198,0.1027
Feminism T191,0.0,0.763,0.237,-0.4215
Feminism T192,0.0,0.886,0.114,-0.3491
Feminism T193,0.111,0.58,0.309,-0.7552
Feminism T194,0.0,1.0,0.0,0.0
Feminism T195,0.0,0.825,0.175,-0.5256
Feminism T196,0.0,1.0,0.0,0.0
Feminism T197,0.0,1.0,0.0,0.0
Feminism T198,0.355,0.545,0.1,0.6808
Feminism T199,0.101,0.559,0.341,-0.6486
Feminism T200,0.0,1.0,0.0,0.0
Feminism T201,0.109,0.786,0.105,0.0258
Feminism T202,0.0,1.0,0.0,0.0
Feminism T203,0.0,1.0,0.0,0.0
Feminism T204,0.0,0.447,0.553,-0.9416
Feminism T205,0.084,0.916,0.0,0.1406
Feminism T206,0.104,0.896,0.0,0.296
Feminism T207,0.368,0.632,0.0,0.8519
Feminism T208,0.0,1.0,0.0,0.0
Feminism T209,0.0,1.0,0.0,0.0
Feminism T210,0.0,0.829,0.171,-0.4767
Feminism T211,0.0,1.0,0.0,0.0
Feminism T212,0.072,0.626,0.302,-0.8541
Feminism T213,0.344,0.656,0.0,0.6369
Feminism T214,0.288,0.582,0.13,0.765
Feminism T215,0.106,0.509,0.384,-0.7184
Feminism T216,0.0,1.0,0.0,0.0
Feminism T217,0.0,1.0,0.0,0.0
Feminism T218,0.0,0.76,0.24,-0.6249
Feminism T219,0.181,0.819,0.0,0.6113
Feminism T220,0.221,0.779,0.0,0.624
Feminism T221,0.0,0.714,0.286,-0.3412
Feminism T222,0.0,1.0,0.0,0.0
Feminism T223,0.0,1.0,0.0,0.0
Feminism T224,0.261,0.586,0.153,0.34
Feminism T225,0.0,0.828,0.172,-0.128
Feminism T226,0.0,0.684,0.316,-0.8074
Feminism T227,0.0,1.0,0.0,0.0
Feminism T228,0.0,1.0,0.0,0.0
Feminism T229,0.0,1.0,0.0,0.0
Feminism T230,0.0,1.0,0.0,0.0
Feminism T231,0.0,1.0,0.0,0.0
Feminism T232,0.0,1.0,0.0,0.0
Feminism T233,0.0,1.0,0.0,0.0
Feminism T234,0.122,0.878,0.0,0.4199
Feminism T235,0.153,0.847,0.0,0.2023
Feminism T236,0.0,1.0,0.0,0.0
Feminism T237,0.0,1.0,0.0,0.0
Feminism T238,0.0,1.0,0.0,0.0
Feminism T239,0.0,0.848,0.152,-0.5267
Feminism T240,0.0,0.566,0.434,-0.3182
Feminism T241,0.412,0.588,0.0,0.743
Feminism T242,0.159,0.841,0.0,0.34
Feminism T243,0.0,0.865,0.135,-0.4215
Feminism T244,0.0,0.645,0.355,-0.5106
Feminism T245,0.5,0.439,0.061,0.875
Feminism T246,0.192,0.808,0.0,0.5848
Feminism T247,0.0,0.816,0.184,-0.4678
Feminism T248,0.0,0.654,0.346,-0.7906
Feminism T249,0.336,0.36,0.304,-0.0516
