trial,Pos.,Neu.,Neg.,Summary
Diana Trujillo T27,0.0,0.789,0.211,-0.4939
Diana Trujillo T28,0.13,0.87,0.0,0.34
Diana Trujillo T29,0.0,1.0,0.0,0.0
Diana Trujillo T30,0.286,0.714,0.0,0.4215
Diana Trujillo T31,0.0,1.0,0.0,0.0
Diana Trujillo T32,0.0,1.0,0.0,0.0
Diana Trujillo T33,0.0,1.0,0.0,0.0
Diana Trujillo T34,0.0,1.0,0.0,0.0
Diana Trujillo T35,0.0,1.0,0.0,0.0
Diana Trujillo T36,0.0,1.0,0.0,0.0
Diana Trujillo T37,0.0,1.0,0.0,0.0
Diana Trujillo T38,0.0,1.0,0.0,0.0
Diana Trujillo T39,0.0,1.0,0.0,0.0
Diana Trujillo T40,0.0,1.0,0.0,0.0
Diana Trujillo T41,0.0,1.0,0.0,0.0
Diana Trujillo T42,0.0,1.0,0.0,0.0
Diana Trujillo T43,0.0,1.0,0.0,0.0
Diana Trujillo T44,0.0,1.0,0.0,0.0
Diana Trujillo T45,0.0,1.0,0.0,0.0
Diana Trujillo T46,0.0,1.0,0.0,0.0
Diana Trujillo T47,0.0,0.885,0.115,-0.296
Diana Trujillo T48,0.0,1.0,0.0,0.0
Diana Trujillo T49,0.0,1.0,0.0,0.0
Diana Trujillo T50,0.0,1.0,0.0,0.0
Diana Trujillo T51,0.0,1.0,0.0,0.0
Diana Trujillo T52,0.0,0.891,0.109,-0.296
Diana Trujillo T53,0.0,0.82,0.18,-0.296
Diana Trujillo T54,0.0,1.0,0.0,0.0
Diana Trujillo T55,0.0,1.0,0.0,0.0
Diana Trujillo T56,0.0,0.789,0.211,-0.4939
Diana Trujillo T57,0.13,0.87,0.0,0.34
Diana Trujillo T58,0.0,1.0,0.0,0.0
Diana Trujillo T59,0.286,0.714,0.0,0.4215
Diana Trujillo T60,0.0,1.0,0.0,0.0
Diana Trujillo T61,0.0,1.0,0.0,0.0
Diana Trujillo T62,0.0,1.0,0.0,0.0
Diana Trujillo T63,0.0,1.0,0.0,0.0
Diana Trujillo T64,0.0,1.0,0.0,0.0
Diana Trujillo T65,0.0,1.0,0.0,0.0
Diana Trujillo T66,0.0,1.0,0.0,0.0
Diana Trujillo T67,0.0,1.0,0.0,0.0
Diana Trujillo T68,0.0,1.0,0.0,0.0
Diana Trujillo T69,0.0,1.0,0.0,0.0
Diana Trujillo T70,0.0,0.855,0.145,-0.296
Diana Trujillo T71,0.0,1.0,0.0,0.0
Diana Trujillo T72,0.0,1.0,0.0,0.0
Diana Trujillo T73,0.194,0.806,0.0,0.34
Diana Trujillo T74,0.0,1.0,0.0,0.0
Diana Trujillo T75,0.118,0.882,0.0,0.34
Diana Trujillo T76,0.0,1.0,0.0,0.0
Diana Trujillo T77,0.0,1.0,0.0,0.0
Diana Trujillo T78,0.0,1.0,0.0,0.0
Diana Trujillo T79,0.0,1.0,0.0,0.0
Diana Trujillo T80,0.0,1.0,0.0,0.0
Diana Trujillo T81,0.0,1.0,0.0,0.0
Diana Trujillo T82,0.0,1.0,0.0,0.0
