trial,Pos.,Neu.,Neg.,Summary
Michio Kaku T77,0.0,0.494,0.506,-0.624
Michio Kaku T78,0.0,1.0,0.0,0.0
Michio Kaku T79,0.0,0.847,0.153,-0.4404
Michio Kaku T80,0.0,1.0,0.0,0.0
Michio Kaku T81,0.0,1.0,0.0,0.0
Michio Kaku T82,0.0,1.0,0.0,0.0
Michio Kaku T83,0.402,0.598,0.0,0.8126
Michio Kaku T84,0.149,0.851,0.0,0.2732
Michio Kaku T85,0.397,0.603,0.0,0.5095
Michio Kaku T86,0.099,0.901,0.0,0.3182
Michio Kaku T87,0.0,0.856,0.144,-0.4019
Michio Kaku T88,0.137,0.863,0.0,0.2263
Michio Kaku T89,0.0,0.803,0.197,-0.4019
Michio Kaku T90,0.214,0.786,0.0,0.4588
Michio Kaku T91,0.219,0.781,0.0,0.6808
Michio Kaku T92,0.0,0.847,0.153,-0.4019
Michio Kaku T93,0.309,0.691,0.0,0.7003
Michio Kaku T94,0.0,0.847,0.153,-0.4019
Michio Kaku T95,0.0,0.816,0.184,-0.4019
Michio Kaku T96,0.0,0.667,0.333,-0.3612
Michio Kaku T97,0.0,1.0,0.0,0.0
Michio Kaku T98,0.0,0.734,0.266,-0.7003
Michio Kaku T99,0.0,1.0,0.0,0.0
Michio Kaku T100,0.2,0.8,0.0,0.4588
Michio Kaku T101,0.0,1.0,0.0,0.0
Michio Kaku T102,0.0,1.0,0.0,0.0
Michio Kaku T103,0.191,0.809,0.0,0.6705
Michio Kaku T104,0.0,1.0,0.0,0.0
Michio Kaku T105,0.0,1.0,0.0,0.0
Michio Kaku T106,0.16,0.737,0.103,0.1406
Michio Kaku T107,0.339,0.521,0.141,0.4215
Michio Kaku T108,0.0,0.474,0.526,-0.875
Michio Kaku T109,0.122,0.878,0.0,0.3612
Michio Kaku T110,0.0,1.0,0.0,0.0
Michio Kaku T111,0.24,0.65,0.11,0.296
Michio Kaku T112,0.226,0.774,0.0,0.6739
Michio Kaku T113,0.0,1.0,0.0,0.0
Michio Kaku T114,0.0,1.0,0.0,0.0
Michio Kaku T115,0.512,0.488,0.0,0.6369
Michio Kaku T116,0.247,0.753,0.0,0.3182
Michio Kaku T117,0.277,0.723,0.0,0.3182
Michio Kaku T118,0.0,0.491,0.509,-0.4847
Michio Kaku T119,0.121,0.792,0.087,0.1861
Neil deGrasse Tyson T1,0.111,0.889,0.0,0.3612
Neil deGrasse Tyson T2,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T3,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T4,0.209,0.637,0.153,0.0598
Neil deGrasse Tyson T5,0.0,1.0,0.0,0.0
